,date,id_partita,minute,home,away,campionato,home_score,away_score,home_possesso_palla,away_possesso_palla,home_tiri,away_tiri,home_tiri_in_porta,away_tiri_in_porta,home_tiri_fuori,away_tiri_fuori,home_tiri_fermati,away_tiri_fermati,home_punizioni,away_punizioni,home_calci_d_angolo,away_calci_d_angolo,home_fuorigioco,away_fuorigioco,home_rimesse_laterali,away_rimesse_laterali,home_parate,away_parate,home_falli,away_falli,home_cartellini_rossi,away_cartellini_rossi,home_cartellini_gialli,away_cartellini_gialli,home_passaggi_totali,away_passaggi_totali,home_passaggi_completati,away_passaggi_completati,home_contrasti,away_contrasti,home_attacchi,away_attacchi,home_attacchi_pericolosi,away_attacchi_pericolosi,home_final_score,away_final_score,final_uo,avg_camp_goals,home_avg_goal_fatti,away_avg_goal_fatti,home_avg_goal_subiti,away_avg_goal_subiti,actual_total_goals,over_strongness
0,05/09/2019,0QcyTUyD,9,armenia,italia,nazionali,0,0,43,57,4,0,3,0,1,0,0,0,1.0,1.0,1,0,0,0,7.0,6.0,0,2,1,1,0,0,0.045454545454545456,0.045454545454545456,36,57,28.0,50.0,1.5,1.5,12,15,13,5,1,3,1,0,0.0,0.0,0.0,0.0,0,0
1,05/09/2019,0QcyTUyD,31,armenia,italia,nazionali,1,1,36,64,4,6,3,3,1,3,0,0,2.0,4.0,1,3,0,0,9.0,11.0,2,2,3,2,0,0,2.0,1.0,61,160,44.0,143.0,3.5,3.5,17,35,14,22,1,3,1,0,0.0,0.0,0.0,0.0,2,118
2,05/09/2019,0QcyTUyD,36,armenia,italia,nazionali,1,1,35,65,5,6,3,3,2,3,0,0,2.0,5.0,1,4,0,0,11.0,12.0,2,2,5,2,0,0,2.0,1.0,75,192,54.0,170.0,3.875,3.875,22,42,16,29,1,3,1,0,0.0,0.0,0.0,0.0,2,108
3,05/09/2019,0QcyTUyD,42,armenia,italia,nazionali,1,1,32,68,5,6,3,3,2,3,0,0,3.0,6.0,1,6,0,1,11.0,13.0,2,2,6,2,0,0,2.0,1.0,83,237,58.0,210.0,4.0,4.0,23,47,16,37,1,3,1,0,0.0,0.0,0.0,0.0,2,96
4,05/09/2019,Q7VcpW6m,9,bosnia-erzegovina,liechtenstein,nazionali,0,0,67,33,1,0,0,0,1,0,0,0,1.0,0.0,0,0,1,0,3.0,4.0,0,0,0,1,0,0,0.045454545454545456,0.045454545454545456,0,0,0.0,0.0,1.5,1.5,17,6,11,3,5,0,1,0,0.0,0.0,0.0,0.0,0,0
5,05/09/2019,MuIcGxzH,9,faerøerne,svezia,nazionali,0,0,24,76,0,3,0,0,0,1,0,2,1.0,0.0,0,1,0,0,2.0,4.0,0,0,0,1,0,0,0.045454545454545456,0.045454545454545456,18,60,12.0,53.0,1.5,1.5,6,11,1,10,0,4,1,0,0.0,0.0,0.0,0.0,0,0
6,05/09/2019,SdB5FB7D,7,finlandia,grecia,nazionali,0,0,58,42,0,0,0,0,0,0,0,0,1.0,1.0,1,0,0,0,2.0,2.0,0,0,1,1,0,0,0.045454545454545456,0.045454545454545456,49,29,47.0,21.0,1.5,1.5,11,7,5,6,1,0,0,0,0.0,0.0,0.0,0.0,0,0
7,05/09/2019,KfvKwCWl,9,gibilterra,danimarca,nazionali,0,1,15,85,0,1,0,1,0,0,0,0,0.0,2.0,0,0,0,0,2.0,4.0,0,0,2,0,0,0,0.045454545454545456,0.045454545454545456,16,61,9.0,51.0,1.5,1.5,7,8,2,5,0,6,1,0,0.0,0.0,0.0,0.0,1,81
8,05/09/2019,tlihPCHe,7,irlanda,svizzera,nazionali,0,0,52,48,0,0,0,0,0,0,0,0,2.0,2.0,1,0,0,0,2.0,2.0,0,0,1,2,0,0,0.045454545454545456,0.045454545454545456,18,29,11.0,21.0,1.5,1.5,4,15,2,5,1,1,0,0,0.0,0.0,0.0,0.0,0,0
9,05/09/2019,hxljwLbR,8,israele,macedonia del nord,nazionali,0,0,48,52,2,0,1,0,1,0,0,0,2.0,2.0,0,0,0,0,0.0,2.0,0,1,3,2,0,0,0.0,1.0,44,17,38.0,11.0,1.5,1.5,14,9,6,3,1,1,0,0,0.0,0.0,0.0,0.0,0,0
10,05/09/2019,KUCX9zDp,8,norvegia,malta,nazionali,0,0,68,32,1,0,0,0,1,0,0,0,0.0,1.0,0,0,0,0,0.0,3.0,0,0,1,0,0,0,0.045454545454545456,0.045454545454545456,80,36,70.0,25.0,1.5,1.5,15,7,8,1,2,0,0,0,0.0,0.0,0.0,0.0,0,0
11,05/09/2019,CrOe6EBn,9,irlanda del nord,lussemburgo,nazionali,0,0,52,48,0,1,0,0,0,0,0,1,1.0,1.0,0,0,0,0,2.3214285714285716,2.3214285714285716,0,0,1,0,0,0,0.045454545454545456,0.045454545454545456,60,59,48.0,52.0,1.5,1.5,15,10,3,3,1,0,0,0,0.0,0.0,0.0,0.0,0,0
12,05/09/2019,fLrl7Iis,8,montenegro,ungheria,nazionali,0,1,48,52,1,2,1,1,0,1,0,0,1.0,3.0,0,0,0,0,2.3214285714285716,2.3214285714285716,0,1,2,2,0,0,0.045454545454545456,0.045454545454545456,46,46,43.0,43.0,1.5,1.5,8,6,2,4,2,1,1,0,0.0,0.0,0.0,0.0,1,82
13,05/09/2019,URfQF5q6,6,romania,spagna,nazionali,0,0,22,78,0,2,0,2,0,0,0,0,1.0,2.0,0,1,1,0,4.0,1.0,2,0,1,1,0,0,0.045454545454545456,0.045454545454545456,23,78,16.0,73.0,1.5,1.5,8,12,2,9,1,2,1,0,0.0,0.0,0.0,0.0,0,0
14,05/09/2019,URfQF5q6,44,romania,spagna,nazionali,0,1,28,72,4,11,0,7,4,2,0,2,5.0,4.0,3,7,1,1,8.0,7.0,6,0,4,4,0,0,1.0,1.0,117,366,82.0,332.0,4.0,4.0,33,61,19,47,1,2,1,0,0.0,0.0,0.0,0.0,1,46
15,05/09/2019,Q7VcpW6m,54,bosnia-erzegovina,liechtenstein,nazionali,1,0,67,33,15,6,6,2,6,3,3,1,6.0,6.0,4,0,2,1,14.0,11.0,2,5,4,5,0,0,0.8333333333333334,0.8333333333333334,436,151,406.0,117.0,6.0,6.0,97,39,82,16,5,0,1,0,0.0,0.0,0.0,0.0,1,36
